brand,details,price,year,mileage,fuel,gearbox,power
nissan,"1,0",35900,2010,297160,Benzín,Manuální,-1.0
citroen,"2,0 HDI 16V Exclusive",59000,2011,287906,Nafta,Manuální,-1.0
subaru,"2,0 4WD, AT, benzín",359000,2015,106700,Benzín,Automatická,-1.0
fiat,"1,4 16V 66kW SPORT* AUTO A/C",65000,2008,146282,Benzín,Manuální,66.0
hyundai,FB TURBO  SMART NAVI,449900,2025,4900,Benzín,Manuální,-1.0
audi,3.0 TDi PANORAMA NAVI,169900,2010,263800,Nafta,Automatická,-1.0
honda,"1,2  05032027",184900,2014,135122,Benzín,Manuální,-1.0
renault,1.2i EXTREME 1.MAJITEL,219000,2015,84000,Benzín,Manuální,-1.0
honda,"1,8 V-TECH nová STK pakr kamer",259900,2015,81460,Benzín,Manuální,-1.0
renault,Blue dCi 150 Cool L2 9 míst,750000,2021,104600,Nafta,Manuální,-1.0
subaru,"2,0 TD AWD",77777,2008,191950,Nafta,Manuální,-1.0
nissan,62kWh N-Connecta + LED,549999,2021,41600,Elektro,Automatická,62.0
toyota,2.0 boxer - po servisu // CZ,429000,2013,127600,Benzín,Manuální,-1.0
opel,2.0 CDTI L2H1 6 míst,169000,2010,206181,Nafta,Unknown,-1.0
hyundai,"1,6TGDi 4x2 7DCT STYLE FL25",689900,2025,5900,Benzín,Automatická,-1.0
renault,Blue dCi 170 EDC Cool L2,775000,2021,134762,Nafta,Automatická,-1.0
seat,"1,4 TSI 122PS ST Navi",288700,2015,124674,Benzín,Manuální,-1.0
subaru,"kombi 2,0 R Comfort",77777,2006,247900,Benzín,Automatická,-1.0
honda,2.0e:HEV Elegance MR 2026,759900,2026,10,Hybridní,Automatická,-1.0
honda,2.0e:HEV Advance MR 2026,864000,2025,10,Hybridní,Automatická,-1.0
honda,1.5e:HEV Advance,689900,2025,15,Hybridní,Automatická,-1.0
nissan,40 kWh/dojezd 255km/Skladem,299000,2019,131000,Elektro,Automatická,40.0
peugeot,"GT LINE, CZ, DPH!!! 1. majitel",579000,2018,145000,Nafta,Automatická,-1.0
opel,Crosscamp Life FLEX 2.0 D AT8,1469900,2023,0,Nafta,Automatická,-1.0
nissan,"1.2DiG-T/85kW * ČR, serviska *",229000,2015,112000,Benzín,Manuální,85.0
audi,S line 35 TFSI 110 kW,1355200,2024,1000,Hybridní,Automatická,110.0
fiat,"Kombi Life 1,0 FireFlay 100 k",457405,2022,5000,Benzín,Manuální,-1.0
volvo,"2,0 R-DESING D4",169900,2013,313559,Nafta,Automatická,-1.0
volkswagen,"Variant Style 1,5 eTSI 7DSG mH",882090,2022,1700,Hybridní,Automatická,-1.0
ford,"1,0i 74kW EcoBoost NAVI",189990,2015,84381,Benzín,Manuální,74.0
fiat,"2,3 96KW KLIMA",309999,2014,242037,Nafta,Manuální,96.0
fiat,2.0MJT AUTOMAT 4x4 7MÍST KŮŽE,329900,2016,106510,Nafta,Automatická,-1.0
fiat,"1,2 16V CABRIO",129900,2009,191996,Nafta,Manuální,-1.0
volkswagen,"R-Line 2,0 TDI 110 kW 4M 7DSG",1264450,2022,1400,Nafta,Automatická,110.0
mercedes-benz,220 D 4MATIC,990000,2020,91059,Nafta,Automatická,-1.0
opel,Crosscamp Life FLEX 2.0 D AT8,1499900,2023,0,Nafta,Automatická,-1.0
opel,Crosscamp Life FLEX 2.0 D AT8,1499900,2023,0,Nafta,Automatická,-1.0
ford,"1,5 EcoBoost 110 kW TREND PLUS",199990,2015,146260,Benzín,Manuální,110.0
renault,Blue dCi 150 EDC Cool L2,850000,2022,93500,Nafta,Automatická,-1.0
fiat,"2,0 4x4 7 míst AUTOMAT",229900,2015,191152,Nafta,Automatická,-1.0
toyota,"1,8i 108kW Valvematic LUNA",159000,2009,198650,Benzín,Manuální,108.0
mazda,"2,5i PHEV 8 AT,4x4,Ex-line,TZ!",899000,2022,41800,Hybridní,Automatická,-1.0
nissan,1.3 140k MT Acenta+COLD,599900,2025,1,Benzín,Manuální,-1.0
nissan,1.3 158k Xtr N-Connecta,715500,2025,1,Benzín,Automatická,-1.0
nissan,1.3 158k Xtr N-Connecta,715500,2025,1,Benzín,Automatická,-1.0
renault,"1,6 i 82KW,ČR,1 MAJ.,LIMITED.",109000,2015,150216,Benzín,Manuální,82.0
skoda,1.6 TDI 77KW LIFTBACK AC,189800,2013,194604,Nafta,Manuální,77.0
subaru,"2.0i,4X4,MANUÁL",69999,2004,210000,Benzín,Manuální,-1.0
citroen,1.4i,99000,2011,280000,Benzín,Manuální,-1.0
skoda,"COM.1,6 TDi,4x4,ESP,KLIMA,ČR",149980,2014,289000,Nafta,Manuální,-1.0
peugeot,1.6 HDI - 7 místné,150000,2011,205019,Nafta,Manuální,-1.0
bmw,330i - XENONY,279000,2009,190803,Benzín,Manuální,-1.0
fiat,"1,9 JTD",45000,2008,181200,Nafta,Manuální,-1.0
nissan,NA SPLÁTKY VŠEM BEZ REGISTRU,229000,2000,277000,Nafta,Manuální,-1.0
seat,"1,6 MPi  Serviska,Klima,8xPneu",98900,2007,180299,Benzín,Manuální,-1.0
fiat,3.0 JTD 130 kw 9 sedadel,275000,2013,345200,Nafta,Manuální,130.0
honda,TARGA 1.6 16V VTi,250000,1992,99000,Benzín,Manuální,-1.0
subaru,Sákne olej z motoru unik,39999,2013,340000,Nafta,Manuální,-1.0
bmw,Unknown,145000,2000,244000,Benzín,Manuální,-1.0
renault,"1,5 dCi 110 EDC Intens",380000,2017,52986,Nafta,Automatická,-1.0
subaru,"2,0 TD  AWD  108 KW",127777,2009,170200,Nafta,Manuální,108.0
opel,"1,4 i 74KW,ČR,1 MAJ.,SERV.KN.",119000,2015,193574,Benzín,Manuální,74.0
mercedes-benz,Unknown,1799900,2022,61032,Elektro,Automatická,-1.0
seat,"2,0 TDI Style SERVIS -DPH",289000,2018,262100,Nafta,Manuální,-1.0
nissan,1.0 92k Acenta + Cold,349800,2022,17000,Benzín,Manuální,-1.0
hyundai,Smart AT 1.6 T-GDI PHEV 132 kW,629990,2022,16243,Hybridní,Automatická,132.0
mazda,revolution 2.5  141 kW,490000,2015,64441,Benzín,Automatická,141.0
fiat,"1,2 1.2 Sport DIGIKLIMA,KŮŽE",64990,2008,148400,Benzín,Manuální,-1.0
nissan,1.6  86 kW,215000,2013,143500,Benzín,Unknown,86.0
fiat,"1,0 FireFlay 100 k",385000,2022,3000,Benzín,Manuální,-1.0
opel,"J Sports Tourer, nové TURBO",219999,2016,167730,Benzín,Manuální,-1.0
bmw,520d xDrive,1069000,2023,52423,Nafta,Automatická,-1.0
audi,"1.4tfsi, servis, splátky",139900,2010,129900,Benzín,Manuální,-1.0
nissan,1.2 DIG 85 kW TEKNA 1.maj. ČR!,247700,2018,61000,Benzín,Manuální,85.0
fiat,1.6 Mjet 130k Cross,449900,2023,20000,Nafta,Manuální,-1.0
nissan,1.6 143k HEV Tekna,649800,2022,23500,Hybridní,Automatická,-1.0
skoda,Combi 1.5 Tsi/G-TEC Dsg Ambiti,420000,2019,61500,CNG + benzín,Automatická,-1.0
opel,1.6 Cdti 81kw Enjoy 1 MAJITEL,285000,2018,139000,Nafta,Manuální,81.0
bmw,M50 ČR X-Drive Záruka do 2027,1139000,2022,57590,Elektro,Automatická,-1.0
peugeot,Active 1.5 Bluehdi 1 MAJ ČR,308550,2018,50800,Nafta,Manuální,-1.0
nissan,"1.3 DIG-T M/T 130k Tekna, 5M",648800,2025,10,Benzín,Manuální,-1.0
bmw,"M850i xDrive, Carbon, servis",1049000,2019,171000,Benzín,Automatická,-1.0
