brand,details,price,year,mileage,fuel,gearbox,power
audi,"2,0 TFSI 180PS Automat",159900,2008,176145,Benzín,Automatická,165.0
nissan,"1,2 -  85054 km",149900,2016,85054,Benzín,Manuální,96.0
nissan,"1,0",35900,2010,297160,Benzín,Manuální,96.0
bmw,"320d X drive,  135kw, splátky",159000,2012,217000,Nafta,Manuální,135.0
ford,"1,6 i, klimatizace, rozvody,",58990,2006,120900,Benzín,Manuální,110.0
subaru,"2,0 4WD, AT, benzín",299000,2015,128000,Benzín,Automatická,110.0
fiat,"1,4 16V 66kW SPORT* AUTO A/C",65000,2008,146282,Benzín,Manuální,66.0
toyota,"2,2 D-4D Terra 4x4",159800,2007,204525,Nafta,Manuální,97.0
hyundai,FB TURBO  SMART NAVI,449900,2025,4900,Benzín,Manuální,99.0
audi,3.0 TDi PANORAMA NAVI,169900,2010,263800,Nafta,Automatická,165.0
honda,"1,2  05032027",189900,2014,135122,Benzín,Manuální,108.0
nissan,"419kw,4x4,Prestige",3299990,2024,28443,Benzín,Automatická,419.0
honda,"1,8 V-TECH nová STK pakr kamer",249900,2015,81460,Benzín,Manuální,108.0
subaru,"2.0D NOVÝ MODEL, záruka KM,4x4",199000,2013,171851,Nafta,Manuální,110.0
subaru,"2,0 TD AWD",77777,2008,191950,Nafta,Manuální,110.0
nissan,62kWh N-Connecta + LED,549999,2021,41600,Elektro,Automatická,62.0
toyota,2.0 boxer - po servisu // CZ,429000,2013,127600,Benzín,Manuální,97.0
opel,2.0 CDTI L2H1 6 míst,169000,2010,206181,Nafta,Unknown,96.0
hyundai,"1,6TGDi 4x2 7DCT STYLE FL25",689900,2025,5900,Benzín,Automatická,99.0
seat,2.0 TDI AUT. KLIMA TAŽNÉ,129900,2014,409200,Nafta,Manuální,96.0
seat,"1,4 TSI 122PS ST Navi",288700,2015,124674,Benzín,Manuální,96.0
mercedes-benz,"GL 350d, 4Matic, AMG, 7míst,",599990,2013,273000,Nafta,Automatická,146.0
subaru,"kombi 2,0 R Comfort",77777,2006,247900,Benzín,Automatická,110.0
peugeot,"GT-Line 2,0 bHDi 150k MAN6",389000,2017,155000,Nafta,Manuální,90.0
honda,2.0e:HEV Elegance MR2026,759900,2026,10,Hybridní,Automatická,108.0
honda,2.0e:HEV Advance MR2026,844000,2025,10,Hybridní,Automatická,108.0
honda,1.5e:HEV Advance,689900,2025,15,Hybridní,Automatická,108.0
nissan,40 kWh/dojezd 255km/Skladem,299000,2019,131000,Elektro,Automatická,40.0
opel,2.0CDTi 128kW GSLine AT8,399900,2021,120506,Nafta,Automatická,128.0
peugeot,"GT LINE, CZ, DPH!!! 1. majitel",579000,2018,145000,Nafta,Automatická,90.0
mercedes-benz,"150 70 kW Klima,Servis",74900,2007,188200,Benzín,Manuální,70.0
opel,Crosscamp Life FLEX 2.0 D AT8,1469900,2023,0,Nafta,Automatická,96.0
