iter	RMSE
134	0.2890732373
135	0.2888645549
136	0.2886932577
137	0.2884576824
138	0.2884196601
139	0.2883286255
140	0.2882286807
141	0.288001658
142	0.2879519876
143	0.2878115017
144	0.2876169778
145	0.2875383322
146	0.2873771141
147	0.2872710758
148	0.2871169941
149	0.2869345475
150	0.2867921282
151	0.2865914821
152	0.2864371968
153	0.286371585
154	0.2862873813
155	0.2861250512
156	0.2860869645
157	0.2860391516
158	0.2859035268
159	0.2856913466
160	0.2856475617
161	0.2855133479
162	0.2853896598
163	0.2852945406
164	0.2851190728
165	0.2849123263
166	0.2847070782
167	0.2845106452
168	0.2844089595
169	0.2843223137
170	0.2841782569
171	0.28404367
172	0.2839663003
173	0.2837873701
174	0.28360636
175	0.283476347
176	0.2833707131
177	0.2832268968
178	0.2831669993
179	0.283030052
180	0.2828838538
181	0.2827013833
182	0.2824939361
183	0.2823546743
184	0.2822555664
185	0.2820857311
186	0.2819450281
187	0.281808461
188	0.2817561113
189	0.2816236726
190	0.2814063338
191	0.2812918638
192	0.2812861343
193	0.2811777702
194	0.2810706541
195	0.2810118142
196	0.2808836974
197	0.2807702869
198	0.2806528095
199	0.280506569
200	0.2803684161
201	0.2802434314
202	0.2800709742
203	0.2800163204
204	0.2799184121
205	0.2798268392
206	0.2797466266
207	0.2796740727
208	0.2794618417
209	0.2793209749
210	0.2791790038
211	0.2790401078
212	0.278826709
213	0.2787249396
214	0.278539958
215	0.2785172186
216	0.2785005046
217	0.2783923033
218	0.2783117519
219	0.2782285509
220	0.2782237865
221	0.2781446962
222	0.2780303324
223	0.2780174944
224	0.2779412272
225	0.2779297917
226	0.2778304848
227	0.2777191165
228	0.2776353324
229	0.2774572689
230	0.2773201885
231	0.2771966033
232	0.277192705
233	0.2770797488
234	0.2769720724
235	0.2768117375
236	0.2766975459
237	0.2765714394
238	0.2765644513
239	0.2764743621
240	0.2763941374
241	0.2763146403
242	0.2762267621
243	0.2761478402
244	0.2761029021
245	0.2760340365
246	0.2758622009
247	0.2757918566
248	0.2757876398
249	0.275683855
250	0.275670614
251	0.2755860837
252	0.275502713
253	0.2754111913
254	0.2753399641
255	0.2752443773
256	0.2751520404
257	0.2750859335
258	0.2750258241
259	0.274982987
260	0.2748324522
261	0.274718676
262	0.2746611399
263	0.2745812686
264	0.2745040552
265	0.2743697354
266	0.2742751492
267	0.2742108855
268	0.2741905482
269	0.2741286439
270	0.2740371644
271	0.2738996511
272	0.2738350798
273	0.2737690868
274	0.2737101264
275	0.2736411259
276	0.2735682937
277	0.2735236428
278	0.2734396421
279	0.2733819398
280	0.2733801591
281	0.2732919656
282	0.2732184783
283	0.2731134119
284	0.2730813443
285	0.273025168
286	0.27295192
287	0.272883727
288	0.2728576403
289	0.2728559936
290	0.2728083084
291	0.2726448296
292	0.2725231458
293	0.2724605096
294	0.2723976871
295	0.2723370157
296	0.2722789817
297	0.2722569688
298	0.2721999077
299	0.2721987152
300	0.2721458138
301	0.272095736
302	0.2720931597
303	0.2720169216
304	0.2718943519
305	0.2718647045
306	0.2718632209
307	0.2717700877
308	0.2717312218
309	0.2715552008
310	0.2714759708
311	0.2714200579
312	0.2712948116
313	0.2712923981
314	0.2711995066
315	0.2711249556
316	0.2711231778
317	0.2710991877
318	0.2710346586
319	0.2709966156
320	0.2709217647
321	0.2708564893
322	0.2707472648
323	0.2707093524
324	0.270609605
325	0.270507853
326	0.2704211048
327	0.2703771361
328	0.2703220506
329	0.2701424995
330	0.2701089973
331	0.2700050679
332	0.2700035425
333	0.2699404653
334	0.2697981654
335	0.2697317606
336	0.2696165016
337	0.2696157889
338	0.2695365262
339	0.2694490661
340	0.269326803
341	0.2692744421
342	0.2692730777
343	0.2691936108
344	0.2690657389
345	0.2690513737
346	0.2689879814
347	0.2689341195
348	0.2688811166
349	0.2688054952
350	0.2687710158
351	0.2686627396
352	0.2686164102
353	0.2685490531
354	0.2684524082
355	0.2684151959
356	0.2683826111
357	0.2683430327
358	0.2682859144
359	0.2682509438
360	0.2681753825
361	0.2681117822
362	0.2680795723
363	0.2680303741
364	0.2679969219
365	0.2679450307
366	0.2678558797
367	0.2678085023
368	0.267763149
369	0.2677259338
370	0.2676740643
371	0.2676251111
372	0.2675830046
373	0.2675469858
374	0.2674722678
375	0.2674273683
376	0.26742594
377	0.2673967096
378	0.267363796
379	0.2673088169
380	0.2672425477
381	0.2672199032
382	0.2671902324
383	0.2671167681
384	0.2670829802
385	0.2670023794
386	0.2669755968
387	0.2669477956
388	0.266917391
389	0.2668304497
390	0.2667934559
391	0.2667759441
392	0.2667421308
393	0.2666641779
394	0.266550175
395	0.2665040898
396	0.266485842
397	0.2664043498
398	0.2663517162
399	0.266290614
400	0.2662835496
401	0.2662242732
402	0.2661749191
403	0.2661365207
404	0.2660422776
405	0.2660167339
406	0.2659508335
407	0.2659075497
408	0.2658017739
409	0.2657506403
410	0.2657281352
411	0.2657018911
412	0.2656655252
413	0.2655780784
414	0.2655775268
415	0.2655649944
416	0.2654987535
417	0.2654804373
418	0.265380165
419	0.2652573055
420	0.2652205023
421	0.265145705
422	0.2650777925
423	0.2650377326
424	0.2649523704
425	0.2649303289
426	0.2648856735
427	0.2648600284
428	0.2647783753
429	0.2647344656
430	0.2647126147
431	0.2646727282
432	0.2645992236
433	0.2645650154
434	0.2645271138
435	0.264502323
436	0.264437814
437	0.2643408713
438	0.2643009066
439	0.2642491167
440	0.264168638
441	0.264053506
442	0.2639815619
443	0.2639387576
444	0.2638611118
445	0.2637858966
446	0.263763089
447	0.263761861
448	0.2637014646
449	0.2636609391
450	0.2636505538
451	0.2636195315
452	0.2635667065
453	0.2635119174
454	0.2634499494
455	0.2633935589
456	0.2633534089
457	0.2633225845
458	0.2632956788
459	0.263198968
460	0.2631475605
461	0.2631143252
462	0.2630099048
463	0.262954832
464	0.2629336101
465	0.2628959636
466	0.2627287951
467	0.2626960869
468	0.2626460609
469	0.2625916214
470	0.2625630239
471	0.2625378247
472	0.2624985418
473	0.2624497324
474	0.2624191247
475	0.2623555384
476	0.2622884442
477	0.2622367475
478	0.2622171069
479	0.262140045
480	0.2620886901
481	0.2620447723
482	0.2619896373
483	0.261943414
484	0.2619248035
485	0.2618749004
486	0.2618394362
487	0.2618175053
488	0.2617888432
489	0.2617136649
490	0.2616525372
491	0.2615823778
492	0.261519861
493	0.2614616321
494	0.2614207076
495	0.261362342
496	0.2613206517
497	0.2612860547
498	0.2612147419
499	0.2612086194
500	0.2611649601
501	0.2611314811
502	0.2610986406
503	0.2610464961
504	0.2610318306
505	0.2609915829
506	0.2609287428
507	0.2608916362
508	0.2608485936
509	0.260814401
510	0.2607744658
511	0.2607249629
512	0.2606823646
513	0.2606404094
514	0.2605794797
515	0.2605317843
516	0.2605104413
517	0.2604819395
518	0.2604751489
519	0.2604380842
520	0.2604375606
521	0.2604308484
522	0.2603721932
523	0.2603718486
524	0.2603549369
525	0.2603186522
526	0.2602542876
527	0.2601865136
528	0.2601341509
529	0.2600724848
530	0.2600130053
531	0.2599754653
532	0.2599245152
533	0.2598630235
534	0.2597985198
535	0.2597460128
536	0.2596960469
537	0.2596624329
538	0.259637022
539	0.2595733047
540	0.2595035276
541	0.2594680416
542	0.2594332428
543	0.2594111709
544	0.2593452729
545	0.2593235387
546	0.2592853501
547	0.2592318134
548	0.2591361847
549	0.2591117064
550	0.2590479649
551	0.2589951387
552	0.2589495924
553	0.2589108632
554	0.2588998565
555	0.2588859965
556	0.2588510114
557	0.2588506557
558	0.2588096797
559	0.2587635042
560	0.2587095141
561	0.2586999261
562	0.258659321
563	0.2586187593
564	0.2585289368
565	0.2585033505
566	0.2584481146
567	0.2584339314
568	0.2583852024
569	0.2583604794
570	0.2582794806
571	0.2582449032
572	0.2581828452
573	0.2581400429
574	0.2581078391
575	0.258070695
576	0.2580210791
577	0.2580208864
578	0.2580028771
579	0.2579757771
580	0.2579243441
581	0.2578758993
582	0.2578338615
583	0.2578189173
584	0.2578013616
585	0.2577806537
586	0.2577014714
587	0.2576601269
588	0.2576196872
589	0.2575645417
590	0.2575267294
591	0.2575231867
592	0.257522895
593	0.2574942131
594	0.2574760042
595	0.2574321616
596	0.2573613242
597	0.2573259896
598	0.2572706149
599	0.2571898289
600	0.2571512234
601	0.2570858376
602	0.2570569075
603	0.2570117597
604	0.2569881087
605	0.2569870984
606	0.2569223026
607	0.2568862624
608	0.2568363132
609	0.2568164091
610	0.2567933242
611	0.2567763639
612	0.2567180993
613	0.2566794848
614	0.2566603693
615	0.2566325697
616	0.2566043936
617	0.2565694134
618	0.2565364843
619	0.2565187622
620	0.2565165855
621	0.2564629991
622	0.256419157
623	0.2563821364
624	0.2563818736
625	0.2563661473
626	0.2563612336
627	0.2563050074
628	0.2562902566
629	0.2562507954
630	0.2562306616
631	0.2562217772
632	0.2562008629
633	0.2561569512
634	0.2561392395
635	0.2561113759
636	0.2561060449
637	0.2560613642
638	0.2560025067
639	0.2559497474
640	0.2558973139
641	0.2558545713
642	0.2558203616
643	0.2558123982
644	0.255780749
645	0.2557476589
646	0.2557321406
647	0.2557181772
648	0.2556663189
649	0.255611212
650	0.255588241
651	0.2555594343
652	0.2555502003
653	0.2555208303
654	0.255491856
655	0.2554325148
656	0.2553789521
657	0.2553486311
658	0.255281904
659	0.2552390484
660	0.2552074751
661	0.2551749241
662	0.2551624719
663	0.2551316121
664	0.2551062453
665	0.255089579
666	0.2550133623
667	0.2549583295
668	0.2549327553
669	0.2549163332
670	0.2548986451
671	0.2548775785
672	0.2548410377
673	0.2548234972
674	0.2547819863
675	0.2547777835
676	0.2547393824
677	0.2546709714
678	0.2546513944
679	0.2546045606
680	0.2545618151
681	0.2545585167
682	0.2545179196
683	0.2545126373
684	0.2544801343
685	0.2544481651
686	0.2544271014
687	0.2544189501
688	0.2543931651
689	0.2543787447
690	0.2543633037
691	0.2543107271
692	0.2543057544
693	0.2542205903
694	0.2542199071
695	0.2541874833
696	0.2541653586
697	0.254124156
698	0.254098883
699	0.2540697185
700	0.2540369795
701	0.2539887826
702	0.2539366456
703	0.2539113671
704	0.2538778446
705	0.2538673107
706	0.2538546449
707	0.2537879889
708	0.2537710484
709	0.2537571321
710	0.2537054472
711	0.2536801745
712	0.2536500759
713	0.2536321664
714	0.2535828497
715	0.2535487405
716	0.2535207044
717	0.253501183
718	0.2534444511
719	0.2534031429
720	0.2533887718
721	0.2533290802
722	0.2533045848
723	0.2532919794
724	0.2532446848
725	0.2532326246
726	0.2531977551
727	0.2531559788
728	0.2531331443
729	0.2531253757
730	0.253094459
731	0.2530653062
732	0.2530443609
733	0.2530329372
734	0.2529878176
735	0.2529606515
736	0.2529304345
737	0.2529217997
738	0.2528753918
739	0.2528283038
740	0.2527826786
741	0.2527523419
742	0.2527279052
743	0.2527105761
744	0.2526540395
745	0.2526370702
746	0.2526050443
747	0.2525447513
748	0.2524901806
749	0.2524686884
750	0.252437299
751	0.2523981063
752	0.2523797901
753	0.2523298622
754	0.2523173753
755	0.2523112135
756	0.2522419122
757	0.2521983337
758	0.2521359274
759	0.2520645908
760	0.2520220075
761	0.2519891165
762	0.2519697833
763	0.2518959429
764	0.2518552551
765	0.2518393827
766	0.2518074918
767	0.2517894706
768	0.2517791522
769	0.2517619293
770	0.2517390176
771	0.2517190177
772	0.251696821
773	0.2516774202
774	0.2516599181
775	0.251645256
776	0.2516233765
777	0.251601141
778	0.25158601
779	0.251568589
780	0.2515570352
781	0.2515388331
782	0.251522328
783	0.2514753
784	0.2514465891
785	0.2514242752
786	0.2514062421
787	0.2513911778
788	0.2513756304
789	0.2513517915
790	0.2513172822
791	0.2513029394
792	0.2512776666
793	0.251271462
794	0.2512612292
795	0.2512286829
796	0.2511742632
797	0.2511106745
798	0.2510362294
799	0.2510036399
800	0.250997534
801	0.2509434163
802	0.2508998963
803	0.2508799193
804	0.2508435291
805	0.2508207749
806	0.250794807
807	0.2507836305
808	0.2507445221
809	0.2507373531
810	0.2507170241
811	0.250683041
812	0.2506746205
813	0.2506328412
814	0.2506000429
815	0.2505295735
816	0.2505053442
817	0.2504824328
818	0.2504679105
819	0.25045017
820	0.2504146822
821	0.250397789
822	0.2503726916
823	0.2503571046
824	0.2503304201
825	0.2502746636
826	0.2502537743
827	0.2501932959
828	0.2501657267
829	0.2501489606
830	0.2501336681
831	0.2500914882
832	0.2500457743
833	0.2500137652
834	0.249971935
835	0.2499615485
836	0.2499439941
837	0.2498962853
838	0.24988238
839	0.2498598216
840	0.2498259499
841	0.2498099328
842	0.2497850639
843	0.2497634072
844	0.2497323952
845	0.2497152927
846	0.249694851
847	0.2496613328
848	0.2496093064
849	0.249541467
850	0.2495245545
851	0.2495042023
852	0.2494875027
853	0.2494632948
854	0.249440703
855	0.2494179708
856	0.2493711262
857	0.2493380214
858	0.2493258992
859	0.2492857967
860	0.2492152737
861	0.2491756483
862	0.2491495331
863	0.2491241009
864	0.2491025802
865	0.2490772762
866	0.2490575762
867	0.2490121561
868	0.24900015
869	0.2489738086
870	0.2489532631
871	0.248943467
872	0.2489309258
873	0.2488918399
874	0.2488650521
875	0.2488083184
876	0.2487818737
877	0.2487613439
878	0.2487473015
879	0.248727366
880	0.2486991553
881	0.2486592869
882	0.2486335468
883	0.2486226882
884	0.2486141745
885	0.2486047136
886	0.2485622667
887	0.2485189415
888	0.2484963724
889	0.2484692257
890	0.2484282134
891	0.2483705556
892	0.2483441395
893	0.2482936038
894	0.2482759206
895	0.248260829
896	0.2482310697
897	0.2482017041
898	0.2481946578
899	0.2481546348
900	0.2481451797
901	0.2481333552
902	0.2480975001
903	0.2480764426
904	0.2480625073
905	0.2480380714
906	0.2480072625
907	0.2479796879
908	0.2479744888
909	0.2479702528
910	0.2479173758
911	0.2479081186
912	0.2478693531
913	0.2478445746
914	0.2478283497
915	0.2478058367
916	0.2477910073
917	0.2477609957
918	0.2477316019
919	0.2476902481
920	0.247636043
921	0.2476066188
922	0.2475685659
923	0.2475564467
924	0.2475411382
925	0.2475196741
926	0.2475105021
927	0.2474871824
928	0.2474476328
929	0.2474215522
930	0.2474119676
931	0.2473800163
932	0.2473516623
933	0.2473348645
934	0.2473010098
935	0.2473004193
936	0.2472813164
937	0.2472390666
938	0.247217761
939	0.2471907636
940	0.2471768164
941	0.2471380864
942	0.2471186114
943	0.2470897412
944	0.2470630669
945	0.2470513655
946	0.2470220008
947	0.2469945513
948	0.2469900154
949	0.246976142
950	0.2469649914
951	0.2469532628
952	0.2469241987
953	0.2468983654
954	0.2468867432
955	0.2468623371
956	0.2468422527
957	0.2468039024
958	0.2467966492
959	0.2467727229
960	0.2467567898
961	0.2467360299
962	0.2467234493
963	0.2467089249
964	0.2466970459
965	0.2466893871
966	0.2466687497
967	0.2466394382
968	0.2466116464
969	0.2465668885
970	0.2465134287
971	0.2464968846
972	0.2464812335
973	0.2464706439
974	0.2464583094
975	0.2464293476
976	0.2464097708
977	0.2463673439
978	0.2463589256
979	0.2463390696
980	0.2463219136
981	0.2463032456
982	0.2462858698
983	0.2462689146
984	0.2462421692
985	0.2462227903
986	0.2462012006
987	0.2461633213
988	0.2461545335
989	0.2460996402
990	0.2460532503
991	0.2460327094
992	0.2460128839
993	0.2459978845
994	0.2459805668
995	0.2459727967
996	0.2459423116
997	0.2459251115
998	0.2459225406
999	0.2459067836
1000	0.245873605
1001	0.2458469907
1002	0.245820701
1003	0.2457860406
1004	0.245754832
1005	0.2457480338
1006	0.2457378739
1007	0.2457277357
1008	0.2456967029
1009	0.245667515
1010	0.2456439405
1011	0.2456067504
1012	0.2455906281
1013	0.2455228181
1014	0.2455162876
1015	0.2455158137
1016	0.2455136636
1017	0.245492924
1018	0.2454419034
1019	0.2454320009
1020	0.245403728
1021	0.2453668974
1022	0.2453615485
1023	0.2453416664
1024	0.2453236762
1025	0.2453207523
1026	0.2452948662
1027	0.2452842457
1028	0.2452629974
1029	0.2451917827
1030	0.2451716588
1031	0.2451588838
1032	0.2451344154
1033	0.245109549
1034	0.2450917783
1035	0.2450659571
1036	0.2450380738
1037	0.2450035078
1038	0.2450020705
1039	0.2449584683
1040	0.2449233844
1041	0.24489926
1042	0.2448536904
1043	0.2448086711
1044	0.2447709976
1045	0.2447278623
1046	0.2446738995
1047	0.2446594188
1048	0.2446350658
1049	0.2446324679
1050	0.244618709
1051	0.2445905028
1052	0.2445841338
1053	0.2445486651
1054	0.2445386218
1055	0.2445071884
1056	0.2444681223
1057	0.2444403694
1058	0.2444092897
1059	0.2443856591
1060	0.2443798818
1061	0.2443540606
1062	0.2443514558
1063	0.2443257316
1064	0.2443111093
1065	0.2442865736
1066	0.244270854
1067	0.2442522223
1068	0.2442448161
1069	0.2442089958
1070	0.2441943049
1071	0.244174849
1072	0.24415073
1073	0.2441350753
1074	0.2441154657
1075	0.2440980789
1076	0.2440817214
1077	0.2440665231
1078	0.2440274796
1079	0.2439732772
1080	0.2439524757
1081	0.2439440649
1082	0.2439001651
1083	0.2438908844
1084	0.2438891966
1085	0.243878571
1086	0.2438646579
1087	0.243813744
1088	0.2438059428
1089	0.243782791
1090	0.2437654706
1091	0.2437605398
1092	0.2437366067
1093	0.2436920608
1094	0.2436607789
1095	0.2436467041
1096	0.2436390404
1097	0.2436387355
1098	0.2436163974
1099	0.243586766
1100	0.2435689693
1101	0.243544292
1102	0.243522817
1103	0.2434961447
1104	0.2434887807
1105	0.2434553261
1106	0.2434451842
1107	0.2434187163
1108	0.2433922856
1109	0.2433751729
1110	0.2433691932
1111	0.2433543167
1112	0.2433452085
1113	0.2433299856
1114	0.2433269369
1115	0.2433118896
1116	0.2432984204
1117	0.2432902718
1118	0.2432646125
1119	0.2432530373
1120	0.243240702
1121	0.2432148448
1122	0.2431954725
1123	0.2431809581
1124	0.2431729863
1125	0.2431261054
1126	0.2431042086
1127	0.2430717006
1128	0.2430544346
1129	0.2430225777
1130	0.2430127137
1131	0.2429881885
1132	0.242978556
1133	0.2429664969
1134	0.2429280198
1135	0.2429069205
1136	0.2428777697
1137	0.2428772655
1138	0.2428600747
1139	0.2428366051
1140	0.2428303116
1141	0.2427962275
1142	0.2427628997
1143	0.2427484813
1144	0.2427097992
1145	0.2426918038
1146	0.2426786639
1147	0.2426397954
1148	0.2426353536
1149	0.2425947155
1150	0.2425775951
1151	0.2425734026
1152	0.2425344993
1153	0.2425152803
1154	0.242508456
1155	0.2424899733
1156	0.2424497454
1157	0.2424011412
1158	0.2423900608
1159	0.2423854694
1160	0.2423360951
1161	0.2423069852
1162	0.2422912572
1163	0.2422746233
1164	0.2422533692
1165	0.242253118
1166	0.2422403884
1167	0.2422229136
1168	0.2422184628
1169	0.2421912519
1170	0.2421849408
1171	0.2421717738
1172	0.2421664754
1173	0.2421311594
1174	0.2421107251
1175	0.242080465
1176	0.2420603721
1177	0.2420441142
1178	0.241999785
1179	0.2419627164
1180	0.2419516956
1181	0.2419307123
1182	0.2419304047
1183	0.2419181253
1184	0.2419115826
